Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Bovidae,,,Bos,taurus,,"Linnaeus, 1758",In,Es,,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5204,Cattle,ganado vacuno,,,"Present on Floreana, Isabela, Santa Cruz and San Cristobal",,"The introduction of this species in the Islands began in 1832 in Floreana, later in San Cristobal (1841), Isabela (1850 aprox.) and in Santa Cruz in 1923.","La introduccion de esta especie a las islas comenzo en 1832 en Floreana, luego en San Cristobal (1841), Isabela (1850 aproximadamente) y por ultimo en Santa Cruz en 1923.",,
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Bovidae,,,Capra,hircus,,"Linnaeus, 1758",In,Es,LC,1,,True,,True,,True,True,True,,True,True,True,True,,,,,True,True,,True,5206,Goat,"Chivo, Cabra",Chivo,"The common goat, Capra hircus, is a domesticated species that is closely related to the wild goat species Capra aegagrus.","In Galapagos domesticated and feral goats have occur on the Islands: Santa Cruz, San Cristóbal, Florena and South Isabela. They have been eradicated from North Isabela, Baltra, Española, Plaza Sur, Santa Fe, Marchena, Rábida, Santiago, and Pinta.","En Galápagos se las puede encontrar domesticadas y salvajes en las Islas: Santa Cruz, San Cristóbal, Floreana y el sur de Isabela. Erradicada del Norte de Isabela, Baltra, Española, Plaza Sur, Santa Fe, Marchena, Rábida, Santiago y Pinta.",,,"This domesticated mammal is a ruminant herbivore, approximately one meter in height.  Goats generally have short, rough hair of variable color and pattern, large horns that are hollow and turned back, tufts of long hair hanging from the lower jaw, and a short tail. The female is smaller than the male and sometimes without horns. They have a scent gland near the feet and groin but lack interdigital and lacrimal glands. Gestation lasts approximately 150 days. These feral animals show marked sexual dimorphism in size, color, and horns characteristics. The goat is considered to be one of the hundred most harmful invasive species in the world.","Mamífero herbívoro rumiante, de un metro de altura aproximadamente, ligero, esbelto, con pelo corto, áspero y a menudo rojizo, cuernos huecos, grandes, esquinados, nudosos y vueltos hacia atrás. Presenta un mechón de pelos largos colgante de la mandíbula inferior y cola muy corta. La hembra es más pequeña que el macho y a veces sin cuernos. Tiene una glándula odorífera cerca de los pies y en la ingle; no tiene glándula interdigital, ni glándula ni orificio lacrimal. La gestación dura 150 días aproximadamente. Presentan un marcado dimorfismo sexual, en talla, color y cornamenta; sin embargo las diferentes razas domésticas tienden a suavizar estas diferencias. Las cabras están dentro de las cien especies exóticas invasoras más dañinas del mundo."
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Bovidae,,,Ovis,aries,,"Linnaeus, 1758",In,Cu,,1,,,,,,,,,,,True,,,,,,,,True,,,5240,Sheep,Ovejuno,,,"Unknown, however was present on Santa Cruz, San Cristobal and Isabela",,"Unknown the introduction of this species in the Islands, but the first record was in 1984, and unknown as disappeared.","Se desconoce la fecha de introduccion de esta especie en las islas, pero el primer registro fue en 1984. Tambien se desconoce como desaparecio de las islas.",,
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Suidae,,,Sus,scrofa,,"Linnaeus, 1758",In,Es,LC,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5251,"Pig, wild boar","Cerdo, chancho, puerco, marrano, porcino, cochinito, lechón.","Chancho, cerdo","Syn. No valid, Sus domesticus, Erxleben, 1777","Santa Cruz, San Cristóbal, Florena y el sur de Isabela. Erradicados del norte de Isabela, Baltra, Española, Plaza Sur, Santa Fe, Marchena, Rábida, Pinta y Santiago.","Santa Cruz, San Cristóbal, Florena and South Isabela. Eradicated from North Isabela, Baltra, Española, Plaza Sur, Santa Fe, Marchena, Rábida, Santiago, and Pinta.",,,"Medium-sized mammal with compact body and large head, its eyes are small, the neck is thick and can not fold up, the legs are short, does not present sweat glands so regulates its temperature taking mud baths, skin color varies from gray to black or brown, although there are pigs with white skin to pink. Sexually dimorphic, males are generally larger than females, An adult male can measure from 0.9 to 2 m. length (without tail), and from 0.55 to 1.1 m tall at the shoulder. The average weight is 50 to 90 kg, although there are races that can reach 300 kg. Females can measure between 0.8 to 1.35 cm in length and an average weight of 45 kg. The tusks of adult males grow continuously, the upper tusks are bent upwards, are their lethal weapons for defense. The tusks of the females are short and do not protrude. Pigs have a jaw adapted to eat vegetables, but are usually omnivorous and their diet can include eggs and juvenile tortoises and turtles, endemic reptiles and seabirds. The sense of smell of pigs is highly developed, in Europe they are used to find truffles. The males are usually solitary, while the females with their young and sub-adults live in groups called sounders. Herds usually have around 20 animals, although there have been groups of up to 50. The herds include three breeding females, one of which is the dominant female. They are most active at night.","De cuerpo compacto y cabeza grande, alargada,  sus ojos son pequeños, el cuello es grueso e incapaz de doblarse hacia arriba, las piernas son cortas, con cerdas duras y sin glándulas sudoríparas por lo que regula su temperatura tomando baños de lodo, el color de la piel varía de gris a negro o marrón, aunque se puede encontrar cerdos de piel blanquecina, casi rosada. Presentan dimorfismo sexual, los machos son generalmente más grandes que las hembras, un adulto macho puede medir de 0.9 a 2 m de longitud (sin cola), y de 0,55 a 1,1 m de altura hasta el hombro. El peso promedio es de 50 a 90 kg, aunque hay razas que pueden alcanzar hasta 300 kg. Las hembras pueden medir entre 0,8 a 1.35 cm de longitud y un peso promedio de 45 kg. Los colmillos de los machos adultos crecen continuamente, los superiores tienden a curvarse hacia arriba, son sus armas letales para defenderse. Los colmillos de las hembras son cortos y no sobresalen. Los cerdos tienen una mandíbula preparada para comer vegetales, pero suelen ser omnívoros y su dieta puede incluir huevos y juveniles de tortugas terrestres y marinas, reptiles endémicos y aves marinas que encuentren. El olfato de los cerdos es muy desarrollado, en Europa se los usa para buscar trufas. Los machos por lo general son solitarios, mientras que las hembras con sus crías y los sub-adultos viven en grupo, al cual se denomina piara. La piara puede estar formada hasta de 20 animales, aunque se han visto grupos hasta de 50. La piara está gobernada por una hembra dominante acompañada de dos más que son las reproductoras. Son más activos en la noche"
Eukaryota,Animalia,Chordata,Mammalia,Carnivora,,,Canidae,,,Canis,lupus,familiaris,"Linnaeus, 1758",In,Es,,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5205,Domestic dog,"Perro doméstico, Canino.",Perro,"Two Syn. Canis familiaris, Linnaeus 1758 and Canis familiarus domesticus, Linnaeus 1758","The domestic dog was originally brought to the Galapagos as companion and to assist with hunting. Domestic dogs are are still present in populated areas of Santa Cruz, San Cristobal, Isabela and Florena Islands.  Feral populations that existed in the park areas on Isabela and Santa Cruz up until 198","El perro domestico fue traído originalmente a Galápagos como animal de compañía y para asistir en cacería. El perro domestico esta aun presente en las áreas pobladas de Santa Cruz, San Cristóbal, Isabela y Florena Las poblaciones ferales fueron erradicados de las áreas de Parque en Isabela y Santa C",,,"The dog is a carnivorous/omnivorous predator mammal of the Canidae family that has been domesticated from the wolf (Canis lupus). Nearly 800 breeds of dog are recognized. Like most mammalian predators, the dog has strong muscles and a well developed cardiovascular system that give them both endurance and speed. They have an highly developed senses of smell and hearingand teeth that are adapted to hold and tear prey. Size, body form, strength, endurance, and fur coat depend on breed. There is little sexual dimorphism, however, males tend to be larger and more muscular. This species has coexisted with humans about 14,000 years, as companions and service animals.  They have been trained for service (guide dogs), guarding, hunting, racing, and shepharding. Dogs are social animals with a well-established dominance hierarchy. Their average lifespan is 15 years.","Mamífero carnívoro/omnívoro depredador de la familia de los cánidos, es una subespecie del lobo (Canis lupus). Se reconocen aproximadamente 800 razas de perro. Como la mayoría de mamíferos depredadores, el perro tiene músculos potentes y un sistema cardiovascular que permite alcanzar altas velocidades y una gran resistencia. Posee un oído y olfato muy desarrollados, siendo este último su principal órgano sensorial. Sus dientes son para cazar, aguantar y desgarrar las presas. Su tamaño, fuerza, resistencia, forma y pelaje dependen de la raza. No existe un dimorfismo sexual marcado, sin embargo los machos tienden a ser más grandes y musculosos que las hembras. El perro domestico ha convivido con los humanos cerca de 14 mil años, como perros de compañía, de guardia, de trabajo, de caza, galgos de carrera, perros guía, perros pastores o perros boyeros. Son animales sociables con una jerarquía de dominancia bien establecida. Su promedio de vida es de 15 años."
Eukaryota,Animalia,Chordata,Mammalia,Carnivora,,,Felidae,,,Felis,catus,,"(Schreber, 1775)",In,Es,,1,,,True,True,,True,,,,True,True,,,,,,,,True,,True,5211,Cat,"Felino, Gato doméstico",Gato doméstico introducido,"Synonyms: Felis catus domestica, Erxleben 1777 and Felis sylvestris Schreber 1777. There is some confusion as to the correct species name. Schreber (1775) illustrated a plate as 'Felis Catus ferus', and in 1777 the text listed 'Felis (Catus) silvestris' and 'Felis Catus (domestica).' Opinion 465 of the International Commission on Zoological Nomenclature (1957f) declared silvestris as the specific name for the European wild cat (with the understanding that F. catus and F. silvestris are usually considered conspecific). Wilson & Reeder (eds., 2005) note that some consider catus and sylvestris (and lybica/libyca) to be conspecific. If this view were followed, there would be a problem with the continued use of the name Felis sylvestri.","They are widely distributed in Floreana, Santa Cruz, Isabela and San Cristobal, where they are feral and as pets in populated areas. They were eradicated from Baltra Island in 2004.","Se encuentran ampliamente distribuidos en Floreana, Santa Cruz, Isabela y San Cristóbal, donde se encuentran en estado salvaje y como mascotas en las zonas pobladas. Se erradicaron de la isla Baltra en el 2004.",,,"The domestic cat is a carnivorous mammal in the Felidae family. They are predators by nature that often hunt at night and prey on numerous species of small mammals, birds, reptiles, amphibians, fish, and invertebrates. They have a soft, wooly fur with a shiny appearance that they maintain by frequent grooming. Their body is flexible, light, muscular and compact with around head and short ears. Their forelimbs usually have five digits and hind legs have four with naked digital pads that allow them to stalk prey quietly. Their claws are retractable, long, sharp, curvy and laterally compressed. The eye pupils contract vertically, they have a secondary eyelid or nictitating membrane to protect the eye. Their tongue is adapted to lacerate and detain food with the surface covered by curvy point papillae. Their teeth clearly reflect their predtor nature. They have a very good sight and hearing. They have glands in the head and tail which they use to mark their territory. Females possess four pairs of mammae.  Even when kept as pets, cats live in a semi-wild status (feral) and are among the IUCN 100 worst invasive species.","El gato doméstico es una especie de mamífero carnívoro de la familia Felidae. Son depredadores por naturaleza, con hábitos nocturnos de cacería, siendo sus posibles presas multiples especies de aves, reptiles, anfibios, peces e invertebrados. Posee un pelaje suave y lanoso con una apariencia brillante, mantenida con una constante limpieza con la lengua. Su cuerpo es flexible, ligero, musculoso y compacto. Las patas delanteras tienen cinco dígitos y las traseras cuatro. Las garras son retráctiles, largas, afiladas, muy curvadas y comprimidas lateralmente. Poseen cojinetes desnudos y patas peludas para su avance sigiloso como depredadores. La cabeza es redondeada, corta y con orejas redondeadas. Las pupilas de los ojos se contraen verticalmente, poseen además un párpado secundario o membrana nictitante para proteger el ojo. Su lengua está adaptada para lacerar y detener comida con su superficie cubierta por papilas puntiagudas curvas. Su dentadura claramente refleja su carácter como depredador. Poseen muy buenos sentidos de la vista y el oído. Tiene glándulas en la cabeza, cerca de la cola y el hocico, que utilizan para marcar territorio. Las hembras poseen cuatro pares de mamas.<br>Los gatos en libertad viven de forma semisalvaje, cazan ratones, ratas y otras especies de vertebrados e invertebrados. Los domésticos capturan insectos, ratones y pequeños pájaros instintivamente, aunque generalmente no los consumen, las presas pueden ser utilizadas como obsequio para el dueño. Está incluido en la lista de las 100 de las especies exóticas invasoras más dañinas del mundo (UICN)."
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,acutorostrata,,"Lacépéde, 1804",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5201,Minke whale,ballena minke,,"Syn.: Agaphelus gibbosus Cope, 1968, Balaena gibbosa Cope, 1868, Balaena microcephala Tomilin, 1957, Balaena minima Rapp, 1837, Balaena minima borealis Knox, 1838, Balaena rostrata Fabricius, 1780 , Balaenoptera acutorostrata thalmaha Deraniyagala, 1963, Balaenoptera acuturostrata Lacépède, 1804 (lapsus calami), Balaenoptera davidsoni Scammon, 1872, Balaenoptera eschrichtius Rasch, 1845 , Balaenoptera microcephala Gray, 1850, Balaenoptera rostrata Van Beneden & Gervais, 1880, Balaenoptera thalmaha, Balaenoptera thalmaha thalmaha Deranyagala, 1963, Pterobalaena minor Eschricht, 1849, Pterobalaena minor bergensis Eschricht, 1849, Pterobalaena minor groenlandica Eschricht, 1849, Pterobalaena nana Barkow, 1862, Pterobalaena nana pentadactyla Barkow, 1862 , Pterobalaena nana tetradactyla Barkow, 1862, Pterobalaena pentadactyla Flower, 1865, Rorqualus minor Hamilton, 1837, Sibbaldius mondinii Capellini, 1877, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,borealis,,"Lesson, 1828",Na,Id,EN,1,,,,,,,,,,,True,,,,,,,,True,,,15554,Sei whale,ballena Sei,,"Syn.: Balaenoptera alba Giglioli, 1870 (synonym), Balaenoptera arctica Temminck, 1841 (synonym), Balaenoptera iwasi Gray, 1846 (synonym), Balaenoptera laticeps Gray, 1846 (synonym), Balaenoptera schlegelii Van Beneden & Gervais, 1880 (synonym), Balaenoptera schlegellii Dabbene, 1902 (synonym), Balena rostrata Rudolphi, 1822 (synonym), Belaenoptera schlegeli Lahille, 1899 (synonym), Pterobalaena alba Giglioli, 1874 (synonym), Pterobalaena schlegeli Tomilin, 1957 (synonym), Pterobalaena schlegeli alba Tomilin, 1957 (synonym), Sibbaldius schlegelii Gray, 1864 (synonym), fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,edeni,,"Anderson, 1879",Na,Mi,DD,1,,,,,,,,,,,True,,True,,,,,,True,,,5202,Bryde´s whale,ballena de Bryde,,"Syn.: Balaenoptera brydei Olsen, 1913 (Nomen inquirendum), Baloenoptera brydei Cadenat, 1957, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,musculus,,"Linnaeus, 1758",Na,Mi,EN,1,,,,,,,,,,,True,,,,,,,,True,,,5203,Blue whale,ballena azul,,"Syn.: Balaena borealis Fischer, 1829 (synonym), Balaena maximus, Balaena musculus Linnaeus, 1758 (basionym), Balaenoptera carolinae Malm, 1866 (synonym), Balaenoptera gigas Reinhardt, 1857 (synonym), Balaenoptera indica Blyth, 1859 (synonym), Balaenoptera jubartes Lacépède, 1804 (synonym), Balaenoptera miramaris Lahille, 1898 (synonym), Balaenoptera sibbaldi Van Beneden, 1887 (synonym), Balaenoptera sibbaldii Flower, 1885 (synonym), Physalus latirostris Flower, 1865 (synonym), Physalus sibbaldii Gray, 1847 (synonym), Pterobalaena gigas Reinhardt, 1857 (synonym), Pterobalaena grypus Munter, 1877 (synonym), Rorqualus boops F. Cuvier, 1836 (synonym), Rorqualus borealis Hamilton, 1837 (synonym), Rorqualus major Knox, 1870 (synonym), Sibbaldius antarcticus Burmeister, 1866 (synonym), Sibbaldius borealis Gray, 1864 (synonym), Sibbaldius musculus Kellogg, 1929 (synonym), fide Appeltans et al. (2010)",,,,,Length up to 26 meters,
