Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Chordata,Aves,Accipitriformes,,,Accipitridae,,,Buteo,galapagoensis,,"(Gould, 1837)",Na,En,VU,1,,True,True,True,,True,True,True,True,True,True,True,True,,,,,True,True,,True,5039,Galapagos Hawk,gavilán de Galápagos,,"Syn.: Polyborus galapagoensis Gould, 1837; Craxirex galapagoensis Gould, 1837; Buteo galapagensis Sundevall, 1871; Buteo galapagoensis Ridgway, 1890","Present on almost all islands, with exception of Genovesa, Wolf, Darwin. Extinct on Santa Cruz, San Cristobal, Floreana, Baltra. <br>Genetic information shows no gene flow between island populations, and hence a relative isolation of sub-populations. The species could be in the first stages of diversi","Intercambios entre islas son muy limitados, eso resulta en sub-poblaciones casi aisladas. La especie puede estar la en las primeras fases de una diversificación.","Threats<br>Dependant on  food availability. May be affected by the toxins used for the control of feral mammals, particularly rats.","Amenazas<br>Depende de la disponibilidad de alimento. Quizá está siendo afectado por toxinas usadas para el control de mamíferos introducidos, particularmente ratas.<br>Información adicional Venegas, L.","Length 56 cm, wingspan 120 cm. The only large and dark, broad winged bird likely to be seen sitting in a tree or circling high in the sky. Adult almost is black except for some chestnut on under parts and a grey or brown tail crossed by about nine darker bands. Immature has body buff colored, mottled with dark brown. Recently fledged juveniles have breast and belly bright chestnut. Bill dark with yellow cere or fleshy base, and feet are yellow. Female is larger than male (Harris 1974; Castro & Phillips 1996).",
Eukaryota,Animalia,Chordata,Aves,Accipitriformes,,,Pandionidae,,,Pandion,haliaetus,,"Linnaeus, 1758",Na,Mi,LC,1,,,,,,True,,,,,True,,,,,,,,True,,True,5136,Osprey,aguila pescadora,,,,,,,"Length 55-69 cm; wingspan 145-160 cm. Upperparts dark brown, under parts largely white; under wing  mottled light and dark with a conspicuous black patch on the bend of the wing. Head is largely white with black mark through eye and down side of neck. Distinguished from Galapagos hawk by mainly white body and black mark on under wing (Harris 1974; Castro & Phillips 1996).",
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Anas,bahamensis,galapagensis,"(Ridgway, 1890)",Na,En,NE,1,,True,True,True,True,True,,,,True,True,,True,,,,,True,True,,True,5024,White-cheeked Pintail,Patillo,,"Syn.: Anas bahamensis Linnaeus, 1758; Dafilia bahamensis","Isabela, Santa Cruz, Santiago, Floreana, San Cristobal, Fernandina and Genovesa Islands, usually where are salt lagoons. And on Española Island (Jiménez-Uzcátegui, G. ob.per.).",,,,"Length 50 cm, wingspan 93 cm. The only common duck in the Islands. Body brown, feathers of the upperparts tinged grey, those of under parts spotted dark brown. Top of head brown but throat and cheeks white, giving the bird a capped appearance. Conspicuous iridescent green wing patch or speculum, widely bordered with buff. Bill dark with pink or reddish base (Harris 1974; Castro & Phillips 1996).",
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Anas,clypeata,,"Linnaeus, 1758",Na,Va,LC,1,,,,,,,,,,,,,,True,,,,,,True,,17595,Northern Shoveler,Pato Cuchara Norteño,,"Syn.. Spatula clypeata Linnaeus, 1758.","Punta Moreno lagoon, Isabela Island.",,,,,
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Anas,cyanoptera,,"Vieillot, 1816",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5025,Cinnamon Teal,Cerceta colorada (canela),,"Syn.: Spatula cyanoptera Vieillot, 1816.",,,,,"The characteristics depending of age and sex of the bird. Although there are slight variations between different subspecies of A. cyanoptera, they tend to share common traits nonetheless. The color of the adult male's head, chest, and underside is generally purple-chestnut, and the abdomen is dark brown. The lower back and rear of the bird are greenish-brown, while the wing coverts are blue. There are variations in shoulder feather color between birds, ranging from yellow with a center stripe, to green with a center stripe. The juvenile is similar in appearance to the adult female, having a green speculum with a white leading edge, and pale blue upper secondary coverts. The adult male's basic markings are similar to these, but he has red eyes and a brighter forewing. From the fall to the spring, the adult male has an alternate plumage. The head, neck, belly, and flanks are bright red, while the back is dark brown. Additionally, the male has black under tail coverts in the fall through spring time span. (Gammonley, 1996) (Cadwell, M. 2002. ""Anas cyanoptera"" (On-line), Animal Diversity Web. Accessed December 11, 2012 at http://animaldiversity.ummz.umich.edu/accounts/Anas_cyanoptera/).",
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Anas,discors,,"Linnaeus, 1766",Na,Mi,LC,1,,,,,,True,,,,,,,,,,,,,,,True,5026,Blue-winged Teal,Cerceta aliazul,,"Syn.: Spatula discors Linnaeus, 1766",,,,,"Length 39 cm; wingspan 63 cm. A small brownish duck with conspicuous large, pale blue patch on shoulder which is obvious in flight. At rest this patch sometimes shows as a horizontal blue line. Green wing speculum. Adult male has white crescent in front of eye and white patch on the flanks, black around tail. Immediately told the resident species by the blue wing patch (Harris 1974; Castro & Phillips 1996).",
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Anas,platyrhynchos,domesticus,"Linnaeus, 1758",In,Cu,NE,1,,,,,,True,,,,True,True,,,,,,,,True,,True,5027,Domestic Duck,Pato doméstico,,,"Present on Santa Cruz, San Cristobal and Isabela? Islands.",,,,,
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Anser,anser,domesticus,"(Linnaeus, 1758)",In,Cu,NE,1,,,,,,,,,,True,True,,,,,,,,True,,,5029,Goose,ganso común,,,Present on San Cristobal Island.,,,,,
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Dendrocygna,autumnalis,,"Linnaeus, 1758",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5075,Black-bellied Whistling-duck,Guirirí,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Anseriformes,,,Anatidae,,,Nomonyx,dominicus,,"Linnaeus, 1766",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5122,Masked Duck,Pato enmascarado,,"Syn.: Oxyura dominica Linnaeus, 1766.","A record on El Junco lagoon, San Cristóbal in 1994, and other on El Chato lagoon, Santa<br>Cruz in 2003.",,,,,
