Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Colubridae,,,Alsophis,sp.,,,NoData,NoData,,3,,True,,,,,,,,,True,,,,,,,,True,,,5320,Galápagos racer,,,,,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Colubridae,,,Pseudalsophis,biserialis,,"(Günther, 1860)",Na,En,EN,1,,,,True,,,,,,,,,,,,,,,True,,,17968,"Galapagos Snake, Galapagos racer",culebra de Galápagos,,"Syn.: Alsophis biserialis, Herpetodryas biserialis Günther, 1860, Dromicus biserialis fide Uetz & Hoek (2013)",,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Colubridae,,,Pseudalsophis,hoodensis,,"(Van Denburgh, 1912)",Na,En,VU,1,,,,,,,,,,,,,,True,,,,,,True,,17972,"Española Galapagos Snake, Hood racer",culebra de Española,,"Syn.: Philodryas hoodensis Van Denburgh, 1912, Dromicus hoodensis Van Denburgh, 1912, Philodryas biserialis hoodensis, Philodryas hoodensis, Pseudalsophis hoodensis fide Uetz & Hoek (2013)",Present only on Española Island.,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Colubridae,,,Pseudalsophis,slevini,,"(Van Denburgh, 1912)",Na,En,CR,1,,,,,,,,,,,,,,True,,,,,,True,,17969,"Galapagos Snake, Galapagos Banded Snake",culebra slevini,,"Syn.: Dromicus slevini Van Denburgh, 1912, Antillophis slevini fide Uetz & Hoek (2013)",,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Colubridae,,,Pseudalsophis,steindachneri,,"(Van Denburgh, 1912)",Na,En,EN,1,,,,,,,,,,,True,,,,,,,,True,,,17970,"Galapagos Snake, Striped Galapagos Snake",culebra dorsalis,,"Syn.: Dromicus steindachneri Van Denburgh 1912, Antillophis steindachneri fide Uetz & Hoek (2013)","Distribution on Santa Cruz, Baltra, Rabida Islands.",,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Gonatodes,caudiscutatus,,"Günther, 1859",In,Ac,LC,1,,,,,,,,,,True,True,,,,,,,,True,,,5281,Gonatodes gecko,Salamanquesa o Gecko enano,,"Syn.: Gonatodes collaris Garman, 1892.","Present on San Cristobal, Baltra",,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Hemidactylus,frenatus,,"Schlegel, 1836",In,Ac,LC,1,,,,,,,,,,,,,,True,,,,,,True,,18477,Common House Gecko,Gecko de casa o común,,,Recorded on Isabela Island.,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Lepidodactylus,lugubris,,"Duméril & Bibron, 1836",In,Ac,,1,,,,,,True,,,,True,True,,,,,,,,True,,True,5284,Mourning Gecko,Gecko de luto,,,"San Cristóbal, Isabela",,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,barringtonensis,,"Van Denburgh, 1912",Na,En,NT,1,,,,,,,,,,,True,,,,,,,,True,,,5294,Barringtonensis Gecko,gecko barringtonensis,,,Present on Santa Fe Island.,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,baurii,,"Swash & Still, 2000",Na,En,NT,1,,,,True,,,,,,,True,,,,,,,,True,,,5295,Bauri Gecko,gecko bauri,,,,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,darwini,,"Taylor, 1942",Na,En,NT,1,,,,,,,,,,True,,,,,,,,,True,,,5296,Darwin´s Gecko,Gecko de Darwin,,Two specimens collected  by Slevin in 1888 from San Cristobal had a mistake indentification with P. tuberculosus.,,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,galapagensis,,"Peters, 1869",Na,En,NT,1,,,,True,,True,,,True,,True,True,,,,,,,True,,True,5297,"Galapagos Gecko, Galápagos leaf-toed gecko",Gecko de Galápagos,,formerly in CDF Checklist as Phyllodactylus galapagoensis but the name was published by Peters (1869) as P. galapagensis,,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,gilberti,,"Heller, 1903",Na,En,NT,1,,,,,,,,,,,,,,,True,,True,,,,,5298,gilberti Gecko,Gecko gilberti,,,Present on Wolf Island.,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,leei,,"Cope, 1889",Na,En,NT,1,,,,,,,,,,True,,,,,,,,,True,,,5299,"leei Gecko, San Cristóbal leaf-toed gecko",Gecko leei,,,Present only on San Cristobal Island.,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,reissii,,"Peters, 1862",In,Es,LC,1,,,,,,,,,,True,True,,,,,,,,True,,,5300,reissi Gecko,Gecko reissi,,,Present on Santa Cruz and Isabela Islands.,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,sp. 1,,,Na,En,EX,3,,,True,,,True,True,,,True,True,,,,,,,True,True,,True,5301,Rabida Gecko,Gecko de Rabida,,,Currently only known as fossils from Rábida.,,,,,
Eukaryota,Animalia,Chordata,Reptilia,Squamata,,,Gekkonidae,,,Phyllodactylus,tuberculosus,,"Wiegmann, 1835",In,Ac,LC,6,,,,,,,,,,True,,,,,,,,,True,,,5302,tuberculosus Gecko,Gecko - tuberculosus,,"Two specimens collected from San Cristobal in 1888 by J.R. Slevin (see Van Denburgh, 1912), and it had a mistake in the identification (see Taylor 1942). Also, J. Olmedo collected on the same Island a juvenile specimen (?) in 1992, but it was a bad identification (Olmedo`s thesis did`t present this record).",Three specimens collected on San Cristobal with a mistake in the identification.,,,,,
