	baltra	bartolome	beagle	caldwell	champion	cowley	crossman	daphne	darwin	eden	enderby	espanola	fernandina	floreana	gardner	genovesa	guy fawkes	isabela	marchena	onslow	pinta	pinzon	plaza	rabida	san cristobal	santa cruz	santa fe	santiago	seymour	sin nombre	tortuga	watson	wolf
Struthio camelus																										1							
Dendrocygna autumnalis													1					6								1							
Sarkidiornis sylvicola																										4							
Cairina moschata																									1	2							
Spatula cyanoptera	1																	4															
Spatula discors	3											1	1	12				177							18	114		1	1				
Spatula clypeata																		1								2							
Anas bahamensis	46											31	25	1208		31		2574					5	632	636	4563	24	81	31				
Aythya affinis	1																	4															
Nomonyx dominicus																		1							1	3							
Gallus gallus														4				17							11	25							
Chordeiles minor	3											2						1							2	4							1
Chaetura pelagica												3													1	2							
Crotophaga ani	227								1			28	35	970		65		1959	1			7	16	62	1947	6236	58	501	52				
Coccyzus melacoryphus	21											5	20	360		9		544	3				2	11	254	1060	7	31	43				
Coccyzus erythropthalmus												1																					
Columba livia	3												1					5							33	31			1				
Columbina talpacoti														2																			
Zenaida auriculata	2																									4							
Zenaida galapagoensis	1185								3			1975	274	288		1409		321	13		3	22	109	718	224	2541	595	1067	748				27
Mustelirallus erythrops	2												3	217		1		109							43	812		4					
Porzana carolina																1		1	1									3					
Gallinula chloropus	13											6	7	48		1		2228					4	5	319	2739	1	7	7				
Fulica americana																		44							6	1							
Porphyrio martinica	3													1				55							7	552		1					
Laterallus spilonota													4	2		1		265			3	4	2	1	50	730		7	4				
Podilymbus podiceps														4				100							3	14							
Phoenicopterus roseus																		1															
Phoenicopterus ruber	47											11	17	1610		9		2990					9	703	22	1385	7	100	50				
Phoenicopterus chilensis	1													101		1		1						15		2							
Haematopus palliatus	131											1294	840	105		30		649	24		1	2	28	533	488	798	49	1322	186				
Haematopus ostralegus												1	3			1										5							
Himantopus himantopus																													1				
Himantopus mexicanus	53											18	14	715		6		1967					6	14	351	2384	9	34	35				
Pluvialis squatarola	24											6	53	230		10		587	5				4	9	46	343	3	56	43				
Pluvialis fulva																		1															
Pluvialis dominica	2												1			1		2							2								
Oreopholus ruficollis												1		1																			
Charadrius vociferus														1				6						1	2	3							
Charadrius semipalmatus	55											58	378	703		34		990	7				17	293	898	1393	30	819	188				1
