gbifID	latlon	name	best	species
3725457278	santiago	santiago	santiago	Setophaga petechia
1913637430	-	santa fe	santa fe	Conus gladiator
3014053650	santa cruz	santa cruz	santa cruz	Chelonoidis niger
1928359232	-	santa cruz	santa cruz	Groutiella mucronifolia
3385153367	baltra	-	baltra	Pelecanus occidentalis
3882000749	san cristobal	san cristobal	san cristobal	Zalophus wollebaeki
2750187953	isabela	isabela	isabela	Setophaga petechia
2049024626	isabela	isabela	isabela	Oceanites gracilis
3384231222	santa cruz	santa cruz	santa cruz	Chelonoidis porteri
4045570311	fernandina	fernandina	fernandina	Tabanus vittiger
2515377064	-	isabela	isabela	Paspalum conjugatum
2517520916	-	santa cruz	santa cruz	Volkameria mollis
2594417407	-	-	-	Pseudochama picta
3658341385	santa cruz	santa cruz	santa cruz	Ardea herodias
2092029296	espanola	espanola	espanola	Fregata magnificens
2036362729	san cristobal	-	san cristobal	Setophaga petechia
2184218755	genovesa	genovesa	genovesa	Sula sula
3282348084	bartolome	bartolome	bartolome	Fregata magnificens
2784318445	santa cruz	santa cruz	santa cruz	Geospiza fuliginosa
2742401889	santa cruz	plaza	plaza	Anous stolidus
2103370944	seymour	seymour	seymour	Geospiza fuliginosa
2012979501	baltra	santa cruz	santa cruz	Triaenodon obesus
1319677165	-	santa cruz	santa cruz	Bulimulus nesioticus
2147777595	bartolome	bartolome	bartolome	Spheniscus mendiculus
2686200838	isabela	isabela	isabela	Fregata magnificens
2866839886	eden	eden	eden	Microlophus albemarlensis
1410685906	san cristobal	san cristobal	san cristobal	Setophaga petechia
1401151742	champion	floreana	champion	Sula granti
3773333881	santa cruz	santa cruz	santa cruz	Myiarchus magnirostris
1193994339	isabela	isabela	isabela	Setophaga petechia
3606393302	santiago	santiago	santiago	Butorides striata
1791694485	rabida	rabida	rabida	Haematopus palliatus
1713309094	floreana	-	floreana	Geospiza fuliginosa
2085519074	isabela	isabela	isabela	Geospiza scandens
4145550649	baltra	baltra	baltra	Geospiza fuliginosa
1721458862	santa cruz	santa cruz	santa cruz	Numenius phaeopus
2866835390	daphne	daphne	daphne	Microlophus albemarlensis
3855273015	rabida	-	rabida	Cordia lutea
3664530618	isabela	isabela	isabela	Geospiza fuliginosa
2719011074	floreana	-	floreana	Numenius phaeopus
2720888257	isabela	isabela	isabela	Anas bahamensis
1057230393	-	-	-	Nolana galapagensis
2126726183	isabela	isabela	isabela	Certhidea olivacea
4104007801	san cristobal	san cristobal	san cristobal	Alliatina primitiva
2185624297	bartolome	bartolome	bartolome	Puffinus subalaris
1772023212	isabela	isabela	isabela	Charadrius semipalmatus
1321840843	-	isabela	isabela	Thoracostoma trachygaster
1257570334	-	pinta	pinta	Commelina diffusa
3985617204	isabela	isabela	isabela	Butorides striata
3563836637	isabela	isabela	isabela	Egretta thula
1320517614	-	santiago	santiago	Lythrypnus gilberti
2769015268	eden	eden	eden	Pelecanus occidentalis
2796171274	santiago	santiago	santiago	Mimus parvulus
583485974	-	san cristobal	san cristobal	Geospiza fortis
3808669918	baltra	santa cruz	santa cruz	Johnrandallia nigrirostris
3217767916	floreana	floreana	floreana	Setophaga petechia
1740739100	isabela	isabela	isabela	Geospiza fortis
4103865275	fernandina	fernandina	fernandina	Pascula rufonotata
1948782620	-	-	-	Grapsus grapsus
269271122	seymour	seymour	seymour	Fregata magnificens
2771072688	isabela	isabela	isabela	Anas bahamensis
1788956439	champion	floreana	champion	Sula nebouxii
2580262783	san cristobal	san cristobal	san cristobal	Myiarchus magnirostris
3658150858	santa cruz	santa cruz	santa cruz	Geospiza fuliginosa
1828985843	-	baltra	baltra	Ziphius cavirostris
2217822705	san cristobal	san cristobal	san cristobal	Anas bahamensis
3229261179	santa cruz	santa cruz	santa cruz	Crotophaga ani
2662622035	santa cruz	santa cruz	santa cruz	Geospiza fortis
1147234846	-	fernandina	fernandina	Nannopterum harrisi
2687985232	isabela	isabela	isabela	Phoenicopterus ruber
1261668830	-	isabela	isabela	Sphagnum perichaetiale
2866835004	espanola	espanola	espanola	Microlophus delanonis
1198944421	baltra	santa cruz	baltra	Haematopus palliatus
1398169860	santa cruz	plaza	santa cruz	Camarhynchus pallidus
2714522471	isabela	isabela	isabela	Hydrobates tethys
2777839277	seymour	seymour	seymour	Butorides striata
3290584129	santa cruz	santa cruz	santa cruz	Myiarchus magnirostris
1390079607	santa cruz	santa cruz	santa cruz	Numenius phaeopus
1178557523	santa cruz	santa cruz	santa cruz	Oceanites gracilis
580328606	santa cruz	santa cruz	santa cruz	Butorides striata
4106523311	genovesa	genovesa	genovesa	Myrmeleon timidus
2173971184	genovesa	genovesa	genovesa	Phaethon aethereus
3855279365	isabela	-	isabela	Opuntia galapageia
2106053193	-	-	-	Pterodroma phaeopygia
1783814532	santa cruz	santa cruz	santa cruz	Pyrocephalus rubinus
1321463161	-	isabela	isabela	Ochtodes
2728522950	rabida	rabida	rabida	Geospiza magnirostris
3585256824	isabela	isabela	isabela	Camarhynchus parvulus
3579078888	bartolome	bartolome	bartolome	Oceanites gracilis
942096551	santa cruz	santa cruz	santa cruz	Sula nebouxii
2252041404	isabela	-	isabela	Ardea herodias
2215017607	santa cruz	santa cruz	santa cruz	Haematopus palliatus
839486155	bartolome	bartolome	bartolome	Puffinus subalaris
3902931024	san cristobal	san cristobal	san cristobal	Pelecanus occidentalis
583483257	-	san cristobal	san cristobal	Geospiza fortis
1784580562	isabela	isabela	isabela	Gallinula chloropus
2700268861	santiago	santiago	santiago	Sula nebouxii
2108148964	santa cruz	santa cruz	santa cruz	Phaethon aethereus
2134380391	santiago	santiago	santiago	Butorides striata
3855281793	san cristobal	tortuga	san cristobal	Croton scouleri
2839769182	santa cruz	santa cruz	santa cruz	Anas bahamensis
2050424593	san cristobal	-	san cristobal	Crotophaga ani
1749869914	santa cruz	santa cruz	santa cruz	Setophaga petechia
2597721740	-	santa cruz	-	Archosargus pourtalesii
2719481639	santa cruz	santa cruz	santa cruz	Mimus parvulus
2090401042	isabela	isabela	isabela	Phoenicopterus ruber
1423501166	santa cruz	plaza	plaza	Lutjanus aratus
2126454677	floreana	floreana	floreana	Setophaga petechia
1054668284	espanola	espanola	espanola	Synodus lacertinus
2682467304	isabela	-	isabela	Bubulcus ibis
1321893616	floreana	floreana	floreana	Pantala flavescens
2673508587	santa cruz	santa cruz	santa cruz	Setophaga petechia
2179580158	plaza	plaza	plaza	Arenaria interpres
3855275765	santa fe	-	santa fe	Oxalis dombeyi
3694257770	espanola	espanola	espanola	Phaethon aethereus
1774772729	santa cruz	santa cruz	santa cruz	Geospiza fortis
3881998716	isabela	isabela	isabela	Didemnidae
872924584	isabela	isabela	isabela	Telenomus
2029365404	santiago	santiago	santiago	Geospiza fortis
1054629195	santa fe	santa fe	santa fe	Epinephelus labriformis
3313376332	santa cruz	santa cruz	santa cruz	Buellia straminea
3456882507	santa cruz	santa cruz	santa cruz	Amblyrhynchus cristatus
2763454272	santa cruz	santa cruz	santa cruz	Butorides striata
609465596	-	isabela	isabela	Glycymeris lintea
3603210134	espanola	espanola	espanola	Setophaga petechia
1794806816	-	san cristobal	san cristobal	Puffinus subalaris
2776083931	champion	floreana	champion	Sula granti
4067350943	san cristobal	san cristobal	san cristobal	Furcraea hexapetala
3089705923	-	-	-	Delphinus delphis
1383849836	champion	floreana	champion	Pelecanus occidentalis
3903647388	genovesa	-	genovesa	Fregata minor
3148449369	santiago	santiago	santiago	Fregata magnificens
2866834378	isabela	isabela	isabela	Microlophus albemarlensis
1791976209	san cristobal	-	san cristobal	Sula nebouxii
1383847341	espanola	-	espanola	Puffinus subalaris
2187428299	santa cruz	santa cruz	santa cruz	Setophaga petechia
1378603308	daphne	daphne	daphne	Puffinus subalaris
1749863502	espanola	espanola	espanola	Certhidea fusca
1423483637	guy fawkes	-	guy fawkes	Ogcocephalus darwini
3542817170	floreana	floreana	floreana	Ardea herodias
657449369	-	floreana	floreana	Phyllodactylus baurii
2233841991	san cristobal	san cristobal	san cristobal	Geospiza scandens
1353789363	san cristobal	-	san cristobal	Leucophaeus fuliginosus
3855268358	santiago	-	santiago	Varronia anderssonii
1145618194	santa fe	santa fe	santa fe	Microlophus albemarlensis
2775073110	santa cruz	santa cruz	santa cruz	Gallinula chloropus
2102913528	seymour	seymour	seymour	Myiarchus magnirostris
3149213072	santa cruz	santa cruz	santa cruz	Calidris alba
2429263647	isabela	isabela	isabela	Geospiza fortis
3532354201	isabela	isabela	isabela	Spheniscus mendiculus
1317811419	floreana	floreana	floreana	Dictyota galapagensis
2541240771	guy fawkes	guy fawkes	guy fawkes	Microlophus albemarlensis
3013878387	santa cruz	santa cruz	santa cruz	Pelecanus occidentalis
1405555018	santa cruz	santa cruz	santa cruz	Mimus parvulus
2233544489	santiago	santiago	santiago	Tringa flavipes
4072478325	-	-	-	Doryopteris palmata
2036305559	isabela	isabela	isabela	Numenius phaeopus
3254421190	santa cruz	santa cruz	santa cruz	Geospiza scandens
3136775523	santa cruz	santa cruz	santa cruz	Geospiza magnirostris
3261792807	floreana	-	floreana	Sula nebouxii
269589798	san cristobal	-	san cristobal	Tringa melanoleuca
1287645135	darwin	darwin	darwin	Scarus rubroviolaceus
2866836527	san cristobal	-	san cristobal	Microlophus bivittatus
1787147569	santa cruz	santa cruz	santa cruz	Butorides striata
1410684804	espanola	espanola	espanola	Haematopus palliatus
3565710289	espanola	espanola	espanola	Creagrus furcatus
3183702941	isabela	isabela	isabela	Camarhynchus parvulus
3298533109	espanola	espanola	espanola	Buteo galapagoensis
1356828109	santa cruz	santa cruz	santa cruz	Numenius phaeopus
3426411819	-	-	-	Bothus
2766521241	san cristobal	san cristobal	san cristobal	Sula nebouxii
3141768403	santiago	santiago	santiago	Arenaria interpres
3182156502	isabela	isabela	isabela	Bubulcus ibis
829612030	-	san cristobal	san cristobal	Fregata magnificens
1762574980	espanola	espanola	espanola	Pelecanus occidentalis
2656685700	santa cruz	santa cruz	santa cruz	Mimus parvulus
2795577697	espanola	espanola	espanola	Arenaria interpres
3546145774	-	-	-	Fregata minor
3575350834	san cristobal	san cristobal	san cristobal	Charadrius semipalmatus
2085574828	isabela	-	isabela	Mimus parvulus
2717607171	santa cruz	santa cruz	santa cruz	Anas bahamensis
3528444684	genovesa	genovesa	genovesa	Geospiza conirostris
2801280513	santa cruz	santa cruz	santa cruz	Coccyzus melacoryphus
3211815534	fernandina	fernandina	fernandina	Butorides striata
2609125704	santa cruz	santa cruz	santa cruz	Sula nebouxii
2204475328	genovesa	genovesa	genovesa	Setophaga petechia
1321556517	-	isabela	isabela	Codium
3112342297	santa cruz	santa cruz	santa cruz	Sesuvium portulacastrum
2427820362	espanola	gardner	espanola	Mimus macdonaldi
2717992299	-	-	-	Haematopus palliatus
2115547806	santa cruz	santa cruz	santa cruz	Bubulcus ibis
1200554932	espanola	espanola	espanola	Sula granti
1407579129	santiago	santiago	santiago	Setophaga petechia
2081267458	genovesa	genovesa	genovesa	Tringa incana
2689212167	santiago	santiago	santiago	Fregata magnificens
2866834854	santa cruz	-	santa cruz	Microlophus albemarlensis
2209586653	santa cruz	santa cruz	santa cruz	Myiarchus magnirostris
3855275181	santa cruz	-	santa cruz	Sida rhombifolia
4137824289	genovesa	san cristobal	genovesa	Mimus parvulus
1423577779	fernandina	fernandina	fernandina	Malacoctenus zonogaster
2795958979	santa cruz	santa cruz	santa cruz	Geospiza fortis
3556730990	santa cruz	santa cruz	santa cruz	Camarhynchus pallidus
1404932148	genovesa	genovesa	genovesa	Geospiza conirostris
4104030304	-	espanola	espanola	Tubulipora pacifica
2152606114	espanola	espanola	espanola	Sula granti
2773737411	isabela	isabela	isabela	Gallinula chloropus
4131594303	santa cruz	santa cruz	santa cruz	Dermaptera
167354310	floreana	-	floreana	Butorides striata
3149129844	genovesa	genovesa	genovesa	Creagrus furcatus
272007935	espanola	espanola	espanola	Mimus macdonaldi
3923408397	santiago	-	santiago	Pelecanus occidentalis
1828939898	-	santa cruz	santa cruz	Desmodium incanum
4131591342	santa cruz	santa cruz	santa cruz	Metapelma
1054668246	-	baltra	baltra	Gobioclinus dendriticus
4103806822	-	santa cruz	santa cruz	Labrospira columbiensis
829420083	isabela	isabela	isabela	Fregata magnificens
1317998786	-	san cristobal	san cristobal	Naesiotus nuculus
3691367971	-	-	-	Hydrobates tethys
3533879857	champion	floreana	champion	Sula nebouxii
3815971942	pinzon	pinzon	pinzon	Muricidae
2709431277	isabela	isabela	isabela	Mimus parvulus
2151661502	floreana	floreana	floreana	Setophaga petechia
1426462967	-	isabela	isabela	Tiquilia darwinii
3675539152	santa cruz	santa cruz	santa cruz	Numenius phaeopus
3287481241	isabela	isabela	isabela	Hydrobates tethys
2594400044	isabela	-	isabela	Conus brunneus
3603474738	baltra	baltra	baltra	Sula nebouxii
3426448620	-	isabela	isabela	Mugil curema
2786923609	genovesa	genovesa	genovesa	Nyctanassa violacea
3855279905	san cristobal	-	san cristobal	Urera baccifera
1426170899	-	-	-	Cranichis werffii
1397154113	santa cruz	santa cruz	santa cruz	Tringa incana
2701725750	plaza	plaza	plaza	Sula nebouxii
1398174003	floreana	floreana	floreana	Geospiza scandens
1096661851	-	gardner	gardner	Alternanthera galapagensis
1398986281	isabela	isabela	isabela	Gallinula chloropus
3135173324	isabela	-	isabela	Phalaropus lobatus
599678097	san cristobal	san cristobal	san cristobal	Setophaga petechia
2784940241	espanola	espanola	espanola	Certhidea fusca
1356866205	daphne	daphne	daphne	Creagrus furcatus
2111937692	fernandina	fernandina	fernandina	Pelecanus occidentalis
1397760703	genovesa	genovesa	genovesa	Sula granti
3572074025	fernandina	-	fernandina	Anous stolidus
1321270505	-	floreana	floreana	Siriella roosevelti
2284172460	-	espanola	espanola	Demospongiae
1321228186	-	-	-	Eremicaster crassus
1198866825	-	isabela	isabela	Nannopterum harrisi
2722579195	santiago	santiago	santiago	Nyctanassa violacea
2699897109	santa cruz	santa cruz	santa cruz	Geospiza fuliginosa
3214957642	-	-	-	Myiarchus magnirostris
2038301150	fernandina	-	fernandina	Pluvialis squatarola
3457212548	-	isabela	-	Grapsus grapsus
3674457356	isabela	isabela	isabela	Pelecanus occidentalis
583465268	-	espanola	espanola	Zenaida galapagoensis
3855263223	santa cruz	-	santa cruz	Froelichia juncea
3855272790	champion	champion	champion	Plumbago zeylanica
2133987194	santa cruz	santa cruz	santa cruz	Geospiza fortis
2089017783	isabela	isabela	isabela	Fregata minor
3563181457	santiago	santiago	santiago	Arenaria interpres
2864780604	plaza	santa cruz	plaza	Tricerma octogonum
971710696	espanola	espanola	espanola	Creagrus furcatus
1779216118	santa cruz	santa cruz	santa cruz	Ardea herodias
1791691296	floreana	-	floreana	Bubulcus ibis
3963396306	santa cruz	santa cruz	santa cruz	Ageratum conyzoides
976606012	san cristobal	san cristobal	san cristobal	Anous stolidus
1185846466	-	isabela	isabela	Pterodroma phaeopygia
2765379967	isabela	isabela	isabela	Mimus parvulus
543459262	enderby	enderby	enderby	Tropidurus grayi
1190933403	san cristobal	san cristobal	san cristobal	Geospiza fuliginosa
3185615160	santa cruz	santa cruz	santa cruz	Geospiza fuliginosa
1831159576	isabela	-	isabela	Microlophus albemarlensis
1212245919	-	santa cruz	santa cruz	Teloschistes flavicans
2250820953	-	santa cruz	santa cruz	Scythris
2189531525	isabela	isabela	isabela	Sula granti
3199207764	genovesa	genovesa	genovesa	Phaethon aethereus
3614203797	seymour	seymour	seymour	Creagrus furcatus
3855270960	pinzon	tortuga	pinzon	Cyperus confertus
3171172571	espanola	espanola	espanola	Haematopus palliatus
3902747581	-	santa cruz	-	Chelonoidis porteri
1054712032	floreana	floreana	floreana	Rypticus bicolor
3525689140	santa cruz	santa cruz	santa cruz	Ardea herodias
